,top,left,right,top props,left props,right props
0,1,12,2,"['prime', 'square']","['2 mult', '3 mult']",['2 mult']
1,1,5,7,"['prime', 'square']","['prime', '5 mult']",['prime']
2,1,2,11,"['prime', 'square']",['2 mult'],['prime']
3,1,10,8,"['prime', 'square']","['2 mult', '5 mult']",['2 mult']
4,2,9,10,['2 mult'],"['3 mult', 'square']","['2 mult', '5 mult']"
5,2,11,12,['2 mult'],['prime'],"['2 mult', '3 mult']"
6,2,10,12,['2 mult'],"['2 mult', '5 mult']","['2 mult', '3 mult']"
7,2,7,1,['2 mult'],['prime'],"['prime', 'square']"
8,3,6,8,"['prime', '3 mult']","['2 mult', '3 mult']",['2 mult']
9,3,8,10,"['prime', '3 mult']",['2 mult'],"['2 mult', '5 mult']"
10,3,4,1,"['prime', '3 mult']","['2 mult', 'square']","['prime', 'square']"
11,3,2,5,"['prime', '3 mult']",['2 mult'],"['prime', '5 mult']"
12,4,1,3,"['2 mult', 'square']","['prime', 'square']","['prime', '3 mult']"
13,4,6,7,"['2 mult', 'square']","['2 mult', '3 mult']",['prime']
14,4,7,11,"['2 mult', 'square']",['prime'],['prime']
15,4,5,10,"['2 mult', 'square']","['prime', '5 mult']","['2 mult', '5 mult']"
16,5,12,9,"['prime', '5 mult']","['2 mult', '3 mult']","['3 mult', 'square']"
17,5,12,3,"['prime', '5 mult']","['2 mult', '3 mult']","['prime', '3 mult']"
18,5,7,6,"['prime', '5 mult']",['prime'],"['2 mult', '3 mult']"
19,5,11,12,"['prime', '5 mult']",['prime'],"['2 mult', '3 mult']"
20,6,3,9,"['2 mult', '3 mult']","['prime', '3 mult']","['3 mult', 'square']"
21,6,5,4,"['2 mult', '3 mult']","['prime', '5 mult']","['2 mult', 'square']"
22,6,9,10,"['2 mult', '3 mult']","['3 mult', 'square']","['2 mult', '5 mult']"
23,6,4,7,"['2 mult', '3 mult']","['2 mult', 'square']",['prime']
24,7,9,5,['prime'],"['3 mult', 'square']","['prime', '5 mult']"
25,7,11,10,['prime'],['prime'],"['2 mult', '5 mult']"
26,7,3,10,['prime'],"['prime', '3 mult']","['2 mult', '5 mult']"
27,7,3,8,['prime'],"['prime', '3 mult']",['2 mult']
28,8,11,3,['2 mult'],['prime'],"['prime', '3 mult']"
29,8,10,2,['2 mult'],"['2 mult', '5 mult']",['2 mult']
30,8,2,5,['2 mult'],['2 mult'],"['prime', '5 mult']"
31,8,4,3,['2 mult'],"['2 mult', 'square']","['prime', '3 mult']"
32,9,12,3,"['3 mult', 'square']","['2 mult', '3 mult']","['prime', '3 mult']"
33,9,5,6,"['3 mult', 'square']","['prime', '5 mult']","['2 mult', '3 mult']"
34,9,10,11,"['3 mult', 'square']","['2 mult', '5 mult']",['prime']
35,9,4,3,"['3 mult', 'square']","['2 mult', 'square']","['prime', '3 mult']"
36,10,11,4,"['2 mult', '5 mult']",['prime'],"['2 mult', 'square']"
37,10,4,12,"['2 mult', '5 mult']","['2 mult', 'square']","['2 mult', '3 mult']"
38,10,8,7,"['2 mult', '5 mult']",['2 mult'],['prime']
39,10,12,4,"['2 mult', '5 mult']","['2 mult', '3 mult']","['2 mult', 'square']"
40,11,12,7,['prime'],"['2 mult', '3 mult']",['prime']
41,11,9,2,['prime'],"['3 mult', 'square']",['2 mult']
42,11,7,3,['prime'],['prime'],"['prime', '3 mult']"
43,11,1,12,['prime'],"['prime', 'square']","['2 mult', '3 mult']"
44,12,1,10,"['2 mult', '3 mult']","['prime', 'square']","['2 mult', '5 mult']"
45,12,2,3,"['2 mult', '3 mult']",['2 mult'],"['prime', '3 mult']"
46,12,11,1,"['2 mult', '3 mult']",['prime'],"['prime', 'square']"
47,12,5,11,"['2 mult', '3 mult']","['prime', '5 mult']",['prime']
