Center,Left,Right,Center properties,Left properties,Right properties
8,12,7,2 mult,2 mult & 3 mult,prime
4,10,5,2 mult & square,2 mult & 5 mult,prime & 5 mult
11,3,4,prime,prime & 3 mult,2 mult & square
10,4,5,2 mult & 5 mult,2 mult & square,prime & 5 mult
4,12,7,2 mult & square,2 mult & 3 mult,prime
9,6,4,3 mult & square,2 mult & 3 mult,2 mult & square
1,4,3,prime & square,2 mult & square,prime & 3 mult
7,11,6,prime,prime,2 mult & 3 mult
10,2,3,2 mult & 5 mult,2 mult,prime & 3 mult
12,4,7,2 mult & 3 mult,2 mult & square,prime
7,1,4,prime,prime & square,2 mult & square
3,1,2,prime & 3 mult,prime & square,2 mult
1,11,4,prime & square,prime,2 mult & square
8,6,9,2 mult,2 mult & 3 mult,3 mult & square
9,1,2,3 mult & square,prime & square,2 mult
5,10,1,prime & 5 mult,2 mult & 5 mult,prime & square
11,5,6,prime,prime & 5 mult,2 mult & 3 mult
10,12,7,2 mult & 5 mult,2 mult & 3 mult,prime
11,7,8,prime,prime,2 mult
12,2,3,2 mult & 3 mult,2 mult,prime & 3 mult
5,3,2,prime & 5 mult,prime & 3 mult,2 mult
6,12,4,2 mult & 3 mult,2 mult & 3 mult,2 mult & square
4,1,2,2 mult & square,prime & square,2 mult
6,10,5,2 mult & 3 mult,2 mult & 5 mult,prime & 5 mult
10,6,9,2 mult & 5 mult,2 mult & 3 mult,3 mult & square
3,7,8,prime & 3 mult,prime,2 mult
1,5,6,prime & square,prime & 5 mult,2 mult & 3 mult
8,2,1,2 mult,2 mult,prime & square
12,6,9,2 mult & 3 mult,2 mult & 3 mult,3 mult & square
9,4,3,3 mult & square,2 mult & square,prime & 3 mult
12,9,1,2 mult & 3 mult,3 mult & square,prime & square
6,3,2,2 mult & 3 mult,prime & 3 mult,2 mult
7,3,2,prime,prime & 3 mult,2 mult
3,9,1,prime & 3 mult,3 mult & square,prime & square
2,6,9,2 mult,2 mult & 3 mult,3 mult & square
1,3,2,prime & square,prime & 3 mult,2 mult
6,9,1,2 mult & 3 mult,3 mult & square,prime & square
4,6,9,2 mult & square,2 mult & 3 mult,3 mult & square
2,12,7,2 mult,2 mult & 3 mult,prime
5,7,8,prime & 5 mult,prime,2 mult
11,1,2,prime,prime & square,2 mult
6,4,7,2 mult & 3 mult,2 mult & square,prime
